0,n0,0,2147483647,1
1,n1,0,2147483647,1
2,n2,0,2147483647,1
3,n3[0],0,2147483647,1
4,n3[1],0,2147483647,1
5,n3[2],0,2147483647,1
6,n3[3],0,2147483647,1
7,n3[4],0,2147483647,1
8,n3[5],0,2147483647,1
9,n3[6],0,2147483647,1
10,n3[7],0,2147483647,1
11,n3[8],0,2147483647,1
12,n3[9],0,2147483647,1
13,n3[10],0,2147483647,1
14,n3[11],0,2147483647,1
15,n4[0],0,2147483647,1
16,n4[1],0,2147483647,1
17,n4[2],0,2147483647,1
18,n4[3],0,2147483647,1
19,n4[4],0,2147483647,1
20,n4[5],0,2147483647,1
21,n4[6],0,2147483647,1
22,n4[7],0,2147483647,1
23,n4[8],0,2147483647,1
24,n4[9],0,2147483647,1
25,n4[10],0,2147483647,1
26,n4[11],0,2147483647,1
27,n5[0],0,2147483647,1
28,n5[1],0,2147483647,1
29,n5[2],0,2147483647,1
30,n6,2147483647,1,4
31,n7,2147483647,1,4
32,n8[0],2147483647,1,4
33,n8[1],2147483647,1,4
34,n8[2],2147483647,1,4
35,n8[3],2147483647,1,4
36,n8[4],2147483647,1,4
37,n8[5],2147483647,1,4
38,n8[6],2147483647,1,4
39,n8[7],2147483647,1,4
40,n8[8],2147483647,1,4
41,n8[9],2147483647,1,4
42,n8[10],2147483647,1,4
43,n8[11],2147483647,1,4
44,g0,2147483647,1,4
45,g1,2147483647,3,4
46,g2,2147483647,3,4
47,g3,2147483647,3,4
48,g4,2147483647,2,4
49,g5,2147483647,2,4
50,g6,2147483647,2,4
51,g7,2147483647,3,4
52,g8,2147483647,3,4
53,g9,2147483647,2,4
54,g10,2147483647,3,4
55,g11,2147483647,2,4
56,g12,2147483647,2,4
57,g13,2147483647,3,4
58,g14,2147483647,3,4
59,g15,2147483647,3,4
60,g16,2147483647,2,4
61,g17,2147483647,2,4
62,g18,2147483647,3,4
63,g19,2147483647,2,4
64,g20,2147483647,2,4
65,g21,2147483647,3,2
66,g22,2147483647,3,2
67,g23,2147483647,2,2
68,g24,2147483647,3,2
69,g25,2147483647,2,2
70,g26,2147483647,2,2
71,g27,2147483647,3,2
72,g28,2147483647,3,2
73,g29,2147483647,3,2
74,g30,2147483647,2,2
75,g31,2147483647,3,2
76,g32,2147483647,2,2
77,g33,2147483647,3,2
78,g34,2147483647,2,2
79,g35,2147483647,2,2
80,g36,2147483647,3,2
81,g37,2147483647,3,2
82,g38,2147483647,2,2
83,g39,2147483647,2,2
84,g40,2147483647,2,2
85,g41,2147483647,2,2
86,g42,2147483647,1,5
87,g43,2147483647,2,2
88,g44,2147483647,1,5
89,g45,2147483647,2,2
90,g46,2147483647,1,5
91,g47,2147483647,1,5
92,g48,2147483647,2,2
93,g49,2147483647,1,5
94,g50,2147483647,2,2
95,g51,2147483647,2,2
96,g52,2147483647,1,5
97,g53,2147483647,2,2
98,g54,2147483647,2,2
99,g55,2147483647,1,5
100,g56,2147483647,2,2
101,g57,2147483647,1,5
102,g58,2147483647,1,5
103,g59,2147483647,2,2
104,g60,2147483647,1,5
