id,name,feature_0,feature_1,feature_2
0,n0,0,2147483647,1
1,n1,0,2147483647,1
2,n2[0],0,2147483647,1
3,n2[1],0,2147483647,1
4,n2[2],0,2147483647,1
5,n2[3],0,2147483647,1
6,n2[4],0,2147483647,1
7,n2[5],0,2147483647,1
8,n2[6],0,2147483647,1
9,n2[7],0,2147483647,1
10,n2[8],0,2147483647,1
11,n2[9],0,2147483647,1
12,n2[10],0,2147483647,1
13,n2[11],0,2147483647,1
14,n2[12],0,2147483647,1
15,n2[13],0,2147483647,1
16,n2[14],0,2147483647,1
17,n2[15],0,2147483647,1
18,n2[16],0,2147483647,1
19,n2[17],0,2147483647,1
20,n2[18],0,2147483647,1
21,n2[19],0,2147483647,1
22,n2[20],0,2147483647,1
23,n2[21],0,2147483647,1
24,n2[22],0,2147483647,1
25,n2[23],0,2147483647,1
26,n2[24],0,2147483647,1
27,n2[25],0,2147483647,1
28,n2[26],0,2147483647,1
29,n2[27],0,2147483647,1
30,n2[28],0,2147483647,1
31,n2[29],0,2147483647,1
32,n2[30],0,2147483647,1
33,n2[31],0,2147483647,1
34,n2[32],0,2147483647,1
35,n2[33],0,2147483647,1
36,n2[34],0,2147483647,1
37,n2[35],0,2147483647,1
38,n2[36],0,2147483647,1
39,n2[37],0,2147483647,1
40,n2[38],0,2147483647,1
41,n2[39],0,2147483647,1
42,n2[40],0,2147483647,1
43,n2[41],0,2147483647,1
44,n2[42],0,2147483647,1
45,n2[43],0,2147483647,1
46,n2[44],0,2147483647,1
47,n2[45],0,2147483647,1
48,n2[46],0,2147483647,1
49,n2[47],0,2147483647,1
50,n2[48],0,2147483647,1
51,n2[49],0,2147483647,1
52,n2[50],0,2147483647,1
53,n2[51],0,2147483647,1
54,n2[52],0,2147483647,1
55,n2[53],0,2147483647,1
56,n2[54],0,2147483647,1
57,n2[55],0,2147483647,1
58,n2[56],0,2147483647,1
59,n2[57],0,2147483647,1
60,n2[58],0,2147483647,1
61,n2[59],0,2147483647,1
62,n2[60],0,2147483647,1
63,n2[61],0,2147483647,1
64,n2[62],0,2147483647,1
65,n2[63],0,2147483647,1
66,n2[64],0,2147483647,1
67,n2[65],0,2147483647,1
68,n2[66],0,2147483647,1
69,n2[67],0,2147483647,1
70,n2[68],0,2147483647,1
71,n2[69],0,2147483647,1
72,n2[70],0,2147483647,1
73,n2[71],0,2147483647,1
74,n2[72],0,2147483647,1
75,n2[73],0,2147483647,1
76,n2[74],0,2147483647,1
77,n2[75],0,2147483647,1
78,n2[76],0,2147483647,1
79,n2[77],0,2147483647,1
80,n2[78],0,2147483647,1
81,n2[79],0,2147483647,1
82,n2[80],0,2147483647,1
83,n2[81],0,2147483647,1
84,n2[82],0,2147483647,1
85,n2[83],0,2147483647,1
86,n2[84],0,2147483647,1
87,n2[85],0,2147483647,1
88,n2[86],0,2147483647,1
89,n2[87],0,2147483647,1
90,n2[88],0,2147483647,1
91,n2[89],0,2147483647,1
92,n2[90],0,2147483647,1
93,n2[91],0,2147483647,1
94,n2[92],0,2147483647,1
95,n2[93],0,2147483647,1
