Name: g2846, 3135, dff
Name: g2845, 3134, not
Name: g2843, 3132, not
Name: g2842, 3131, not
Name: g2841, 3130, not
Name: g2840, 3129, not
Name: g2839, 3128, or
Name: g2837, 3126, not
Name: g2836, 3125, or
Name: g2835, 3124, xnor
Name: g2833, 3122, nor
Name: g2832, 3121, nor
Name: g2831, 3120, nor
Name: g2829, 3118, nor
Name: g2828, 3117, or
Name: g2826, 3115, nor
Name: g2823, 3112, buf
Name: g2822, 3111, dff
Name: g2820, 3109, dff
Name: g2818, 3107, nor
Name: g2816, 3105, not
Name: g2815, 3104, nor
Name: g2814, 3103, nor
Name: g2813, 3102, dff
Name: g2812, 3101, xnor
Name: g2810, 3099, dff
Name: g2809, 3098, nor
Name: g2808, 3097, nor
Name: g2807, 3096, not
Name: g2806, 3095, or
Name: g2802, 3091, not
Name: g2801, 3090, dff
Name: g2798, 3087, or
Name: g2797, 3086, nor
Name: g2796, 3085, nor
Name: g2795, 3084, or
Name: g2794, 3083, or
Name: g2793, 3082, nor
Name: g2792, 3081, buf
Name: g2791, 3080, nor
Name: g2790, 3079, dff
Name: g2788, 3077, nor
Name: g2786, 3075, nor
Name: g2785, 3074, nor
Name: g2784, 3073, not
Name: g2782, 3071, nor
Name: g2781, 3070, dff
Name: g2780, 3069, nor
Name: g2779, 3068, or
Name: g2776, 3065, or
Name: g2775, 3064, nor
Name: g2773, 3062, or
Name: g2772, 3061, nor
Name: g2771, 3060, nor
Name: g2770, 3059, not
Name: g2768, 3057, not
Name: g2767, 3056, nor
Name: g2766, 3055, not
Name: g2804, 3093, or
Name: g2765, 3054, dff
Name: g2764, 3053, nor
Name: g2762, 3051, nor
Name: g2761, 3050, dff
Name: g2760, 3049, xnor
Name: g2759, 3048, xnor
Name: g2757, 3046, not
Name: g2756, 3045, dff
Name: g2754, 3043, not
Name: g2753, 3042, nor
Name: g2752, 3041, nor
Name: g2751, 3040, dff
Name: g2749, 3038, not
Name: g2748, 3037, nor
Name: g2747, 3036, nor
Name: g2746, 3035, nor
Name: g2745, 3034, or
Name: g2744, 3033, xnor
Name: g2743, 3032, not
Name: g2742, 3031, nor
Name: g2736, 3025, or
Name: g2734, 3023, dff
Name: g2732, 3021, not
Name: g2731, 3020, xnor
Name: g2730, 3019, not
Name: g2729, 3018, not
Name: g2724, 3013, not
Name: g2722, 3011, or
Name: g2721, 3010, not
Name: g2719, 3008, not
Name: g2834, 3123, nor
Name: g2717, 3006, nor
Name: g2716, 3005, dff
Name: g2715, 3004, or
Name: g2714, 3003, not
Name: g2713, 3002, dff
Name: g2712, 3001, nor
Name: g2710, 2999, nor
Name: g2709, 2998, xnor
Name: g2708, 2997, nor
Name: g2707, 2996, nor
Name: g2706, 2995, nor
Name: g2758, 3047, nor
Name: g2704, 2993, dff
Name: g2703, 2992, nor
Name: g2702, 2991, nor
Name: g2701, 2990, not
Name: g2700, 2989, xor
Name: g2699, 2988, or
Name: g2698, 2987, not
Name: g2697, 2986, not
Name: g2696, 2985, dff
Name: g2695, 2984, not
Name: g2694, 2983, dff
Name: g2693, 2982, nor
Name: g2690, 2979, or
Name: g2689, 2978, dff
Name: g2688, 2977, or
Name: g2686, 2975, nor
Name: g2685, 2974, nor
Name: g2684, 2973, or
Name: g2683, 2972, not
Name: g2682, 2971, or
Name: g2679, 2968, xnor
Name: g2677, 2966, nor
Name: g2675, 2964, nor
Name: g2674, 2963, not
Name: g2671, 2960, nor
Name: g2670, 2959, or
Name: g2668, 2957, or
Name: g2667, 2956, or
Name: g2666, 2955, not
Name: g2665, 2954, xnor
Name: g2664, 2953, dff
Name: g2663, 2952, nor
Name: g2662, 2951, not
Name: g2738, 3027, dff
Name: g2660, 2949, dff
Name: g2658, 2947, nor
