n30 g93
n31 g92
n32 g91
n33 g90
n34 g89
n35 g88
n36 g87
n37 g86
n38 g85
n39 g84
n40 g83
n41 g82
n42 g81
n43 g80
n44 g79
n45 g78
n47 g76
n48 g75
n49 g74
n50 g73
n51 g72
n52 g71
n53 g70
n54 g69
n10[0] g68
n55 g67
n56 g66
n59 g63
n60 g62
n46 g77
n61 g61
n62 g60
n63 g59
n64 g58
n65 g57
n66 g56
n67 g55
n68 g54
n69 g53
n70 g52
n10[1] g51
n71 g50
n72 g49
n73 g48
n74 g47
n10[2] g46
n58 g64
n75 g45
n10[3] g44
n76 g43
n57 g65
n77 g42
n14[4] g41
n14[5] g40
n15 g39
n16 g38
n29 g37
n17 g36
n18 g35
n20 g33
n21 g32
n11[0] g31
n11[1] g30
n22 g29
n23 g28
n24 g27
n25 g26
n8[6] g25
n26 g24
n6 g23
n27 g22
n13[0] g21
n28 g20
n7 g19
n8[5] g18
n8[4] g17
n8[3] g16
n8[2] g15
n8[1] g14
n8[0] g13
n9[6] g12
n9[5] g11
n9[4] g10
n9[3] g9
n9[2] g8
n9[1] g7
n9[0] g6
n11[3] g5
n11[2] g4
n12[3] g3
n12[2] g2
n12[1] g1
n12[0] g0
n5[1] n5[1]
n5[0] n5[0]
n4[1] n4[1]
n4[0] n4[0]
n3 n3
n2 n2
n19 g34
n1 n1
n0 n0
