id,name,LGFi,FFi,FFo,Pi,Po,Trojan_gate
0,n0,0,0,-1,0,3,0
1,n1,0,1,-1,0,5,0
2,n2[0],0,2,-1,0,8,0
3,n2[1],0,2,-1,0,8,0
4,n2[2],0,2,-1,0,8,0
5,n2[3],0,2,-1,0,8,0
6,n2[4],0,2,-1,0,8,0
7,n2[5],0,2,-1,0,8,0
8,n2[6],0,2,-1,0,8,0
9,n2[7],0,2,-1,0,8,0
10,n2[8],0,2,-1,0,8,0
11,n2[9],0,2,-1,0,8,0
12,n2[10],0,2,-1,0,8,0
13,n2[11],0,2,-1,0,8,0
14,n2[12],0,2,-1,0,8,0
15,n2[13],0,2,-1,0,8,0
16,n2[14],0,2,-1,0,8,0
17,n2[15],0,2,-1,0,8,0
18,n2[16],0,-1,0,0,-1,0
19,n2[17],0,-1,0,0,-1,0
20,n2[18],0,-1,0,0,-1,0
21,n2[19],0,-1,0,0,-1,0
22,n2[20],0,-1,0,0,-1,0
23,n2[21],0,-1,0,0,-1,0
24,n2[22],0,-1,0,0,-1,0
25,n2[23],0,-1,0,0,-1,0
26,n2[24],0,-1,0,0,-1,0
27,n2[25],0,-1,0,0,-1,0
28,n2[26],0,-1,0,0,-1,0
29,n2[27],0,-1,0,0,-1,0
30,n2[28],0,-1,0,0,-1,0
31,n2[29],0,-1,0,0,-1,0
32,n2[30],0,-1,0,0,-1,0
33,n2[31],0,-1,0,0,-1,0
34,n3[0],0,2,-1,0,8,0
35,n3[1],0,2,-1,0,8,0
36,n3[2],0,2,-1,0,8,0
37,n3[3],0,2,-1,0,8,0
38,n4[0],2,-1,2,3,0,0
39,n4[1],2,-1,2,3,0,0
40,n4[2],2,-1,2,3,0,0
41,n4[3],2,-1,2,3,0,0
42,n4[4],2,-1,2,3,0,0
43,n4[5],2,-1,2,3,0,0
44,n4[6],2,-1,2,3,0,0
45,n4[7],2,-1,2,3,0,0
46,n4[8],2,-1,2,3,0,0
47,n4[9],2,-1,2,3,0,0
48,n4[10],2,-1,2,3,0,0
49,n4[11],2,-1,2,3,0,0
50,n4[12],2,-1,2,3,0,0
51,n4[13],2,-1,2,3,0,0
52,n4[14],2,-1,2,3,0,0
53,n4[15],2,-1,2,3,0,0
54,g0,6,3,1,2,24,0
55,g1,8,14,1,2,20,0
56,g2,4,2,2,3,26,0
57,g3,4,2,0,1,5,1
58,g4,5,9,1,2,15,0
59,g5,3,-1,0,1,2,0
60,g6,3,12,2,3,18,0
61,g7,4,6,1,2,18,0
62,g8,2,6,3,4,12,0
63,g9,3,4,0,1,23,0
64,g10,2,3,2,3,24,0
65,g11,6,0,1,2,6,1
66,g12,3,-1,0,1,2,0
67,g13,2,1,3,4,28,0
68,g14,3,8,0,1,14,0
69,g15,4,2,2,3,29,0
70,g16,4,3,1,2,18,0
71,g17,2,3,2,3,27,0
72,g18,2,1,-1,1,7,0
73,g19,6,1,1,2,4,0
74,g20,4,1,1,2,14,0
75,g21,4,2,2,3,23,0
76,g22,4,6,2,3,9,0
77,g23,2,2,4,5,14,0
78,g24,4,1,1,2,9,0
79,g25,3,0,4,2,8,0
80,g26,6,-1,1,2,1,0
81,g27,4,2,2,3,8,0
82,g28,3,0,4,3,24,0
83,g29,6,0,0,1,7,1
84,g30,4,4,2,3,16,0
85,g31,2,1,3,4,22,0
86,g32,2,0,2,2,16,0
87,g33,3,2,2,3,14,0
88,g34,3,2,0,1,7,0
89,g35,2,0,2,2,16,0
90,g36,3,0,4,3,27,0
91,g37,4,2,0,1,5,1
92,g38,4,4,2,3,20,0
93,g39,2,4,3,4,29,0
94,g40,4,5,3,4,11,0
95,g41,4,2,2,3,26,0
96,g42,3,4,0,1,12,0
97,g43,2,4,3,4,22,0
98,g44,2,0,2,2,16,0
99,g45,4,-1,3,4,2,0
100,g46,3,0,4,2,12,0
101,g47,4,3,1,2,15,0
102,g48,6,0,1,2,6,1
103,g49,2,4,3,4,28,0
104,g50,2,1,-1,1,7,0
105,g51,6,1,1,2,4,0
106,g52,4,4,2,3,10,0
107,g53,3,4,0,1,20,0
108,g54,2,1,-1,1,7,0
109,g55,2,4,3,4,28,0
110,g56,6,0,0,1,7,1
111,g57,4,1,3,4,16,0
112,g58,3,0,4,3,18,0
113,g59,2,6,3,4,18,0
114,g60,3,4,0,1,24,0
115,g61,3,0,2,2,7,0
116,g62,4,3,1,2,15,0
117,g63,4,15,2,3,21,0
118,g64,4,1,1,2,7,0
119,g65,3,2,0,1,5,0
120,g66,6,0,0,1,7,1
121,g67,6,-1,1,2,1,0
122,g68,8,1,1,2,9,1
123,g69,2,7,2,3,10,0
