n23 g240
n84 g239
n56 g238
n172 g237
n10[5] g236
n136 g235
n53 g234
n88 g233
n159 g232
n57 g231
n201 g230
n156 g229
n132 g228
n15[3] g227
n79 g226
n139 g225
n40 g224
n10[11] g223
n41 g222
n181 g219
n14[9] g218
n69 g217
n16[1] g216
n96 g215
n204 g214
n10[8] g213
n13[0] g211
n110 g210
n58 g209
n10[10] g208
n26 g207
n43 g206
n38 g205
n77 g204
n109 g203
n104 g202
n35 g201
n10[6] g200
n179 g199
n192 g198
n10[9] g197
n111 g196
n119 g195
n14[2] g194
n138 g193
n176 g192
n129 g191
n74 g190
n16[2] g189
n106 g188
n198 g187
n44 g186
n175 g185
n47 g184
n14[11] g183
n29 g182
n92 g181
n126 g180
n39 g179
n32 g178
n191 g177
n98 g176
n151 g175
n130 g174
n210 g173
n95 g172
n184 g171
n173 g170
n161 g169
n155 g168
n11[1] g167
n12[3] g166
n167 g165
n94 g164
n193 g163
n14[12] g162
n71 g161
n188 g160
n48 g159
n99 g158
n12[2] g157
n14[1] g156
n202 g155
n195 g154
n54 g153
n10[12] g152
n140 g151
n11[2] g150
n153 g149
n115 g148
n16[0] g147
n70 g146
n87 g145
n168 g144
n211 g143
n60 g142
n62 g141
n14[3] g140
n37 g139
n10[1] g138
n82 g137
n18 g136
n25 g135
n10[2] g134
n125 g133
n205 g132
n134 g131
n65 g130
n107 g129
n102 g128
n196 g127
n165 g126
n144 g125
n13[1] g124
n166 g123
n27 g122
n200 g121
n100 g120
n10[7] g119
n19 g118
n123 g117
n118 g116
n158 g115
n10[4] g114
n52 g113
n127 g112
n131 g111
n14[8] g110
n143 g109
n76 g108
n75 g107
n141 g106
n14[4] g105
n42 g104
n113 g103
n68 g102
n169 g101
n152 g100
n66 g99
n189 g98
n85 g97
n78 g96
n207 g95
n36 g94
n90 g93
n28 g221
n194 g92
n20 g91
n120 g90
n67 g89
n135 g88
n182 g87
n15[0] g86
n112 g85
n124 g84
n157 g83
n128 g82
n185 g81
n149 g80
n147 g79
n89 g78
n81 g77
n11[3] g76
n86 g75
n164 g74
n103 g73
n117 g72
n170 g71
n108 g70
n63 g69
n163 g68
n30 g67
n49 g66
n17 g65
n13[2] g64
n154 g63
n206 g62
n50 g61
n33 g60
n199 g59
n145 g58
n121 g57
n22 g56
n15[2] g55
n209 g54
n83 g53
n16[3] g52
n61 g51
n208 g50
n133 g49
n114 g48
n203 g47
n14[5] g46
n21 g45
n122 g44
n180 g43
n150 g42
n12[0] g41
n116 g40
n80 g39
n197 g38
n31 g37
n190 g36
n24 g35
n46 g34
n45 g32
n14[10] g31
n146 g30
n160 g29
n91 g28
n72 g27
n15[1] g26
n186 g25
n212 g24
n177 g23
n51 g22
n59 g21
n162 g20
n14[6] g19
n101 g18
n183 g17
n34 g16
n137 g15
n73 g14
n14[7] g13
n187 g12
n142 g212
n10[0] g11
n171 g10
n11[0] g9
n105 g8
n97 g7
n55 g33
n12[1] g6
n174 g5
n178 g4
n13[3] g3
n10[3] g2
n93 g1
n64 g0
n9[9] n9[9]
n9[8] n9[8]
n9[7] n9[7]
n9[6] n9[6]
n9[5] n9[5]
n9[4] n9[4]
n9[3] n9[3]
n9[2] n9[2]
n9[1] n9[1]
n9[0] n9[0]
n8[5] n8[5]
n8[4] n8[4]
n8[3] n8[3]
n8[2] n8[2]
n8[1] n8[1]
n8[0] n8[0]
n7[7] n7[7]
n7[6] n7[6]
n7[5] n7[5]
n7[4] n7[4]
n7[3] n7[3]
n7[2] n7[2]
n7[1] n7[1]
n7[0] n7[0]
n6[7] n6[7]
n6[6] n6[6]
n6[5] n6[5]
n6[4] n6[4]
n6[3] n6[3]
n6[2] n6[2]
n6[1] n6[1]
n6[0] n6[0]
n5[7] n5[7]
n5[6] n5[6]
n5[5] n5[5]
n5[4] n5[4]
n5[3] n5[3]
n5[2] n5[2]
n5[1] n5[1]
n5[0] n5[0]
n4[12] n4[12]
n4[11] n4[11]
n4[10] n4[10]
n4[9] n4[9]
n4[8] n4[8]
n4[7] n4[7]
n4[6] n4[6]
n4[5] n4[5]
n4[4] n4[4]
n4[3] n4[3]
n4[2] n4[2]
n4[1] n4[1]
n4[0] n4[0]
n3[13] n3[13]
n3[12] n3[12]
n3[11] n3[11]
n3[10] n3[10]
n3[9] n3[9]
n3[8] n3[8]
n3[7] n3[7]
n3[6] n3[6]
n3[5] n3[5]
n148 g220
n3[4] n3[4]
n3[3] n3[3]
n3[2] n3[2]
n3[1] n3[1]
n3[0] n3[0]
n2 n2
n1 n1
n0 n0
